"학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"성균관대학교","사립","서울","29562817512","25039205982","174514710","4349096820","28987606385","9440796200","6568542550","2004076107","0","0","10974191528","58550423897"
"성신여자대학교","사립","서울","19027274851","18305180821","210243800","511850230","13109671763","6487048500","3858309500","819813363","0","9412000","1935088400","32136946614"
"성운대학교","사립","경북","5330886351","5314795451","0","16090900","1211024424","0","0","4905624","0","0","1206118800","6541910775"
"세경대학교","사립","강원","3503387690","3009944690","257405000","236038000","545813190","76265500","148407880","27618460","0","5320250","288201100","4049200880"
"세명대학교","사립","충북","20370060538","18745070658","1371631480","253358400","8257489322","2393847950","446072900","550085752","0","107116750","4760365970","28627549860"
"세종대학교","사립","서울","21348941003","20824060653","7000000","517880350","16221758352","2789413500","7670018200","936536722","88327000","30062000","4707400930","37570699355"
"세종사이버대학교","사립","서울","15436900748","15418208748","5880000","12812000","4205364734","102146667","7080000","32951060","0","72240000","3990947007","19642265482"
"세한대학교","사립","전남","8969327377","8807419377","1508000","160400000","2589301636","428533400","269213000","79393936","0","9844000","1802317300","11558629013"
"송곡대학교","사립","강원","1791474871","1713859871","73365000","4250000","713862394","134838800","21132000","67586644","0","0","490304950","2505337265"
"송원대학교","사립","광주","9001693871","8930593871","4500000","66600000","3376346644","265788750","0","115138224","0","101442310","2893977360","12378040515"
"송호대학교","사립","강원","2308022792","2187320292","82902500","37800000","516536061","114854000","0","46636640","0","14680866","340364555","2824558853"
"수성대학교","사립","대구","10912615863","10839547863","0","73068000","3603964432","640511000","56222000","91446832","0","14650000","2801134600","14516580295"
"수원가톨릭대학교","사립","경기","532821550","232217550","0","300604000","520779450","28543200","27500000","0","0","0","464736250","1053601000"
"수원과학대학교","사립","경기","9079678868","8944848468","7505400","127325000","3202666286","1154441000","350298900","105363886","0","29393000","1563169500","12282345154"
"수원대학교","사립","경기","18165114536","17974135256","19604280","171375000","12625976464","6417733000","3946934000","407316464","0","19682000","1834311000","30791091000"
"수원여자대학교","사립","경기","9415461078","9361158118","4572960","49730000","3801313198","747752667","1697568781","449123820","0","23904000","882963930","13216774276"
"숙명여자대학교","사립","서울","20204822825","18634797835","102503080","1467521910","13965834318","5584630000","4260658070","1401364316","0","27767000","2691414932","34170657143"
"순복음총회신학교","사립","충북","436915000","436915000","0","0","102750000","5400000","0","0","0","0","97350000","539665000"
